OldIO,NewIO,NIOBase,NIOType,ChunkedNIO,SingleWriteNIO,DirectNIO,S100MiB,S1MiB,INCompressor,Verifier,ITracing,Tracing,TracingLevel,Severe,Finest,Statistics,PERF
0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,2960
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,5274
1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,3512
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5241
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,5314
0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3058
0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,16401
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3314
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,5510
0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,3155
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5295
1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,5328
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,3216
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,4915
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3451
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3143
0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,5062
0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,5090
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3299
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,16442
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5338
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3232
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3138
0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,3341
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,14594
1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,14905
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,14694
0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,5465
