Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1,1,1,0,0,0,0,1,51,2,2,10092.39036
1,1,1,0,0,0,0,1,51,4,3,10066.10643
1,1,0,0,1,0,0,1,51,3,5,7671.019286
1,0,0,1,0,1,0,1,55,0,3,15946.32143
1,1,0,0,1,0,0,1,54,5,2,11266.48571
1,0,1,0,0,1,0,1,52,4,5,9793.9225
1,1,0,0,1,0,0,1,53,0,6,13583.10357
1,0,0,0,1,1,0,1,53,3,3,9846.766071
1,1,0,0,0,0,1,1,50,1,5,9673.2875
1,0,0,0,1,1,0,1,51,4,1,9074.508571
1,1,1,0,0,0,0,1,51,5,5,7498.959643
1,1,0,0,1,0,0,1,50,6,6,9718.527857
1,1,1,0,0,0,0,1,55,6,3,11739.84286
1,1,0,0,1,0,0,1,52,2,4,10505.22857
1,0,0,0,0,1,1,1,55,2,2,10675.03571
1,1,0,0,0,0,1,1,55,0,2,14612.61071
1,0,1,0,0,1,0,1,54,2,5,10688.99643
1,0,0,0,0,1,1,1,53,3,3,10056.92643
1,0,0,0,1,1,0,1,50,4,2,6640.879643
1,1,0,1,0,0,0,1,51,3,1,10031.13107
1,1,0,0,1,0,0,1,53,1,4,13502.42857
1,1,0,0,0,0,1,1,53,0,3,13464.81429
1,1,0,1,0,0,0,1,51,2,4,10013.37679
1,0,1,0,0,1,0,1,51,5,0,9079.328214
1,1,0,1,0,0,0,1,55,2,4,11664.92143
1,1,0,0,0,0,1,1,53,4,4,8079.076786
1,0,1,0,0,1,0,1,55,2,3,10614.51786
1,1,0,0,0,0,1,1,54,6,5,8396.121786
1,1,0,0,0,0,1,1,54,2,5,11207.80714
1,1,0,1,0,0,0,1,50,6,4,7299.777143
1,0,0,0,0,1,1,1,50,1,1,11102.32143
1,1,0,0,0,0,1,1,55,1,0,23227.74643
1,0,0,0,0,1,1,1,53,4,4,7559.093929
1,1,0,0,0,0,1,1,54,1,0,22407.63214
1,1,0,0,1,0,0,1,50,4,5,9646.541071
1,0,0,0,1,1,0,1,54,3,4,10458.83214
1,1,0,0,0,0,1,1,50,5,3,7257.724643
1,0,0,0,0,1,1,1,54,0,4,12952.23929
1,1,1,0,0,0,0,1,55,2,6,11611.91786
1,1,1,0,0,0,0,1,52,3,1,10548.29286
1,0,0,0,0,1,1,1,53,4,0,10060.5725
1,1,1,0,0,0,0,1,55,0,6,17397.25
1,1,0,0,0,0,1,1,51,5,4,7576.131786
1,1,1,0,0,0,0,1,50,6,0,7207.1775
1,0,0,1,0,1,0,1,52,3,1,9607.337857
1,1,0,1,0,0,0,1,50,6,1,7237.837143
1,0,1,0,0,1,0,1,51,3,5,9152.130714
1,0,0,0,1,1,0,1,52,5,3,7360.898214
1,1,1,0,0,0,0,1,51,4,0,10047.115
1,0,0,1,0,1,0,1,53,2,6,10031.41143
1,0,0,1,0,1,0,1,54,3,0,10420.02857
1,1,1,0,0,0,0,1,52,4,4,10436.44643
1,0,0,0,1,1,0,1,50,5,6,8781.767143
1,1,0,0,1,0,0,1,52,4,3,7921.049643
1,1,1,0,0,0,0,1,53,6,3,10913.05
1,0,0,0,1,1,0,1,55,4,1,10585.66429
1,1,1,0,0,0,0,1,51,3,1,10021.59464
1,1,0,0,0,0,1,1,51,1,4,9958.1825
1,1,1,0,0,0,0,1,50,1,0,24028.20357
1,1,0,0,1,0,0,1,52,3,4,10441.875
1,1,1,0,0,0,0,1,52,1,0,28690.68571
1,0,0,0,1,1,0,1,54,6,5,10189.24643
1,0,0,0,0,1,1,1,52,5,6,7278.923571
1,1,0,0,1,0,0,1,54,6,6,11429.35
1,1,1,0,0,0,0,1,50,3,6,9710.789643
1,0,0,0,0,1,1,1,50,0,6,8754.275714
1,0,0,0,0,1,1,1,50,1,2,8756.160714
1,1,0,0,0,0,1,1,51,1,3,9957.022143
1,0,1,0,0,1,0,1,55,0,5,15853.075
1,0,0,0,1,1,0,1,52,3,1,7312.147857
1,0,0,0,1,1,0,1,51,4,6,6893.9875
1,0,0,1,0,1,0,1,55,5,6,10762.83214
1,0,0,0,1,1,0,1,50,5,3,8855.005714
1,1,0,0,1,0,0,1,50,1,4,12126.27857
1,1,0,0,1,0,0,1,55,6,3,11625.24286
1,0,0,0,0,1,1,1,50,0,2,11103.57857
1,0,0,0,1,1,0,1,50,2,2,6601.925714
1,1,0,1,0,0,0,1,55,5,1,11674.55357
1,0,0,1,0,1,0,1,50,5,1,6694.724643
1,0,1,0,0,1,0,1,51,4,6,6828.976429
1,0,1,0,0,1,0,1,54,3,4,10333.67143
1,1,1,0,0,0,0,1,53,3,1,10828.94643
1,1,0,0,1,0,0,1,53,0,2,13628.31786
1,1,1,0,0,0,0,1,52,5,6,7818.513571
1,0,0,1,0,1,0,1,52,3,5,9552.986786
1,1,0,0,0,0,1,1,50,2,3,9823.213214
1,1,0,1,0,0,0,1,51,5,4,7526.2075
1,1,0,0,1,0,0,1,55,2,6,11628.68214
1,0,0,1,0,1,0,1,55,1,2,13420.35357
1,0,0,0,0,1,1,1,53,6,2,7792.3425
1,1,0,0,0,0,1,1,53,5,0,10788.81071
1,0,1,0,0,1,0,1,50,2,6,8862.7725
1,1,0,0,0,0,1,1,52,3,3,10447.16071
1,0,0,0,0,1,1,1,53,5,5,7459.024286
1,0,0,1,0,1,0,1,51,1,0,18348.80357
1,1,0,0,0,0,1,1,55,2,2,11595.46071
1,1,0,1,0,0,0,1,50,5,6,7258.036429
1,0,0,1,0,1,0,1,51,2,5,9309.809286
1,1,1,0,0,0,0,1,52,0,4,15937.08571
1,1,0,0,1,0,0,1,55,4,0,11708.31786
1,1,0,0,0,0,1,1,55,5,1,11643.77143
1,0,0,1,0,1,0,1,51,2,4,9246.806429
1,1,0,0,1,0,0,1,54,6,0,11502.83571
1,1,0,1,0,0,0,1,54,2,6,11469.575
1,1,0,1,0,0,0,1,53,3,1,10832.3
1,1,0,0,0,0,1,1,54,4,0,11245.51429
1,0,0,0,0,1,1,1,51,2,3,9112.441071
1,1,1,0,0,0,0,1,55,6,0,11588.275
1,1,0,0,1,0,0,1,55,1,1,14515.2
1,0,0,0,1,1,0,1,55,6,4,10620.84643
1,0,0,1,0,1,0,1,53,6,3,9980.670357
1,0,0,0,0,1,1,1,53,3,2,9893.181071
