Smoother_GS,CGS,Smoother_JAC,Smoother,Smoother_GSRB,Smoother_GSRBAC,CGS_IP_CG,Smoother_GSACBE,CGS_IP_AMG,CGS_RED_AMG,Smoother_GSAC,numCore,post,pre,performance
0,1,0,1,1,0,0,0,1,0,0,256,2,6,403.663
0,1,0,1,1,0,0,0,0,1,0,64,6,4,497.801
0,1,0,1,0,1,1,0,0,0,0,64,6,4,525.007
1,1,0,1,0,0,0,0,0,1,0,64,3,4,257.116
0,1,1,1,0,0,0,0,0,1,0,4096,0,4,220.991
0,1,0,1,0,0,0,1,0,1,0,1024,3,1,1485.53
0,1,0,1,0,0,1,1,0,0,0,4096,1,5,2294.39
0,1,0,1,1,0,0,0,0,1,0,1024,2,4,362.962
0,1,0,1,0,0,0,0,0,1,1,1024,0,5,267.774
0,1,0,1,0,0,0,1,1,0,0,4096,1,4,1879.8
0,1,0,1,0,0,1,1,0,0,0,4096,0,3,1218.33
0,1,0,1,0,1,0,0,0,1,0,64,4,2,357.698
0,1,1,1,0,0,0,0,0,1,0,64,5,4,314.243
0,1,1,1,0,0,0,0,1,0,0,64,2,3,201.045
0,1,0,1,0,1,0,0,0,1,0,1024,4,5,536.471
0,1,0,1,0,0,0,0,1,0,1,1024,6,6,407.177
0,1,0,1,0,1,0,0,1,0,0,4096,3,3,377.482
0,1,1,1,0,0,0,0,1,0,0,4096,3,6,322.741
0,1,1,1,0,0,0,0,0,1,0,64,1,4,217.636
0,1,0,1,0,0,1,0,0,0,1,4096,2,6,387.087
0,1,0,1,1,0,1,0,0,0,0,64,0,1,117.788
0,1,1,1,0,0,0,0,1,0,0,4096,6,3,320.522
0,1,0,1,1,0,0,0,0,1,0,1024,6,3,485.142
0,1,1,1,0,0,1,0,0,0,0,256,0,6,238.477
0,1,1,1,0,0,0,0,1,0,0,1024,3,3,231.369
0,1,0,1,1,0,0,0,1,0,0,256,5,2,361.425
0,1,1,1,0,0,0,0,0,1,0,256,0,4,202.139
0,1,0,1,0,1,0,0,1,0,0,4096,2,1,231.655
0,1,0,1,0,0,0,1,1,0,0,1024,2,1,1098.6
0,1,0,1,1,0,0,0,1,0,0,64,2,4,321.515
0,1,1,1,0,0,0,0,1,0,0,4096,5,3,293.554
0,1,0,1,0,0,0,1,0,1,0,256,4,3,2560.8
0,1,0,1,0,0,1,0,0,0,1,1024,3,4,310.95
0,1,1,1,0,0,1,0,0,0,0,64,5,0,200.311
0,1,0,1,0,0,1,1,0,0,0,64,6,6,4298.12
0,1,0,1,1,0,0,0,1,0,0,1024,0,4,245.441
0,1,0,1,0,1,0,0,0,1,0,1024,4,0,287.895
0,1,0,1,0,1,1,0,0,0,0,64,3,6,480.764
1,1,0,1,0,0,0,0,1,0,0,64,6,4,310.821
0,1,0,1,0,0,0,0,0,1,1,1024,5,1,285.108
0,1,1,1,0,0,0,0,0,1,0,64,4,5,314.547
0,1,0,1,0,0,1,1,0,0,0,4096,0,5,1931.09
0,1,0,1,1,0,0,0,1,0,0,4096,5,0,297.653
0,1,0,1,0,0,1,0,0,0,1,1024,5,0,231.944
0,1,0,1,0,1,0,0,1,0,0,4096,5,0,316.8
1,1,0,1,0,0,0,0,0,1,0,256,2,2,196.06
0,1,1,1,0,0,1,0,0,0,0,256,3,1,186.223
1,1,0,1,0,0,0,0,0,1,0,256,5,3,292.081
0,1,0,1,0,0,0,0,1,0,1,256,0,5,215.424
0,1,0,1,0,1,1,0,0,0,0,256,6,5,579.7
0,1,0,1,1,0,0,0,1,0,0,4096,2,0,177.573
1,1,0,1,0,0,1,0,0,0,0,4096,1,1,171.049
0,1,0,1,0,0,1,0,0,0,1,1024,1,3,225.678
0,1,0,1,0,0,1,1,0,0,0,64,5,5,3591.76
0,1,0,1,0,0,0,1,0,1,0,1024,1,6,2533.16
0,1,0,1,0,1,0,0,0,1,0,64,3,2,313.25
0,1,0,1,0,0,0,0,1,0,1,64,0,6,242.537
0,1,0,1,0,1,1,0,0,0,0,64,1,0,122.949
0,1,1,1,0,0,1,0,0,0,0,64,0,4,177.597
0,1,1,1,0,0,0,0,0,1,0,4096,3,2,245.33
0,1,0,1,0,1,0,0,0,1,0,1024,0,3,252.958
0,1,0,1,0,0,0,1,0,1,0,4096,0,4,1576.3
0,1,1,1,0,0,0,0,1,0,0,1024,2,0,131.693
0,1,0,1,1,0,0,0,1,0,0,4096,2,2,258.72
0,1,0,1,0,0,1,0,0,0,1,4096,4,4,386.184
0,1,0,1,0,0,0,0,1,0,1,256,3,2,214.181
